,Kaupunginosa,Huoneisto,TaloTyyppi,m2,Vh(€),Neliöhinta(€),Rakennusvuosi,Kerros,Hissi,Kunto,Tontti,Energialuokka
923,Annala,5h+k+kph+s+khh+...,rt,102.0,267000,2618,2003,1/2,ei,,vuokra,D2018
924,Kauppi,4h+k+s,kt,94.0,537000,5713,2020,2/6,on,,vuokra,B2018
925,Olkahinen,4h+k+kph/s+wc+2...,rt,101.0,207000,2050,1987,1/2,ei,,vuokra,
926,Härmälä,"3mh, oh, k, wc,...",ok,128.0,210000,1641,1929,1/3,ei,tyyd.,vuokra,E2018
927,Tesoma,4h+k,kt,79.0,110000,1392,1967,2/3,ei,hyvä,vuokra,C2018
928,Keskusta,"4h,k,kph, erill...",kt,82.0,385000,4695,1962,7/8,on,,oma,D2018
929,Vuores,"4-5h, kt, 2 x k...",rt,110.5,395000,3575,2023,-1/3,ei,hyvä,vuokra,B2018
930,Hervanta,"4h,k,s",rt,97.5,263000,2697,2006,2/2,ei,hyvä,vuokra,C2018
931,Leinola,4h + k + th + k...,ok,131.0,384000,2931,1994,1/1,ei,hyvä,vuokra,B2018
932,Holvasti,"6h,k,s",ok,144.0,300000,2083,1994,,ei,tyyd.,vuokra,D2018
933,Amuri,"4h,k,aula,kph/wc,p",kt,89.0,275000,3090,1952,6/6,on,hyvä,vuokra,F2013
934,Hervanta,"5h, k, kk, 2 x ...",kt,130.5,150000,1149,1979,2/5,on,tyyd.,oma,D2018
935,Koivistonkylä,"4h, k, s, ph/wc...",rt,98.5,230000,2335,1988,1/1,ei,hyvä,oma,D2018
936,Ranta-tampella,4h+k+wc+kph/s+v...,kt,88.0,535000,6080,2021,2/9,on,hyvä,oma,A2018
937,Hervanta,4h + k + s + kp...,kt,93.0,160000,1720,1986,4/5,on,hyvä,oma,D2018
938,Onkiniemi,"4 h, k, s, kph,...",kt,94.5,273000,2889,1982,1/3,ei,tyyd.,oma,D2018
939,Tesoma,"4h, k, kph/kodi...",kt,93.0,130000,1398,1966,3/3,ei,hyvä,vuokra,C2018
940,Leinola,4h+k,rt,97.0,389000,4010,2022,1/1,ei,hyvä,oma,
941,Keskusta,4h+k+vh+kph+s+e...,kt,96.0,345000,3594,1963,5/5,on,,oma,
942,Viiala,"4h, k, s, varas...",rt,82.0,335000,4085,2021,1/2,ei,,oma,A2018
943,Viinikka,"4h, k, kph, s, ...",rt,100.0,240000,2400,1937,-1/4,ei,tyyd.,vuokra,
944,Härmälä,"4 h, k, ph/wc +...",ok,93.0,96000,1032,1937,2/2,ei,huono,vuokra,
945,Niemenranta,"4h, k, kph, s, ...",rt,86.0,367900,4278,2017,1/1,ei,hyvä,vuokra,C2013
946,Kaleva,4h+k,kt,72.0,233000,3236,1957,1/2,ei,,vuokra,D2018
947,Annisto,"Oh, k, 3 mh, kh...",rt,105.0,400000,3810,2022,1/1,ei,hyvä,oma,A2018
948,Peltolammi,"5h, k, khh, kph...",rt,105.5,189000,1791,1990,-1/2,ei,tyyd.,vuokra,D2018
949,Risso,"6h, avok, sauna...",ok,218.5,548000,2508,2014,-1/1,ei,hyvä,vuokra,A2018
950,Ikuri,5h+k+s,rt,113.0,189000,1673,1989,1/1,ei,tyyd.,vuokra,
951,Viiala,4h+k+s+wc+kph+p...,kt,93.5,200000,2139,1988,2/3,ei,tyyd.,oma,D2018
952,Hirvikallio,"4h, k, kph, khh...",rt,114.5,300000,2620,2011,-1/2,ei,hyvä,vuokra,B2018
953,Annala,4h + k + kph/sa...,rt,98.0,172000,1755,1979,1/2,ei,,oma,
954,Linnainmaa,"4h, k, sauna/kp...",rt,98.0,217500,2219,1979,2/2,ei,hyvä,oma,
955,Leinola,4h+k+vh+khh+kph...,ok,128.0,392000,3063,1978,,ei,hyvä,oma,A2018
956,Vehmainen,"Oh, k, 3-4mh, p...",ok,140.0,230000,1643,1930,-1/3,ei,hyvä,oma,B2018
957,Leinola,"5h,k,kph,s,vara...",ok,230.0,325000,1413,1985,1/2,ei,,oma,E2018
958,Atala,"4h, k, kph, s, wc",rt,84.0,225000,2679,1984,2/2,ei,hyvä,oma,D2018
959,Annisto,"Oh, k, 3 mh, kh...",rt,105.0,400000,3810,2022,1/1,ei,hyvä,oma,A2018
960,Lentävänniemi,"4h, k, kph, eri...",kt,88.5,170000,1921,1976,1/6,on,hyvä,oma,D2018
961,Amuri,"3-4h, k, kph/s,...",kt,120.5,515000,4274,1972,9/9,on,hyvä,oma,G2013
962,Kaleva,"5h, k, kph, 2 x vh",kt,79.0,260000,3291,1958,2/4,on,hyvä,vuokra,E2018
963,Linnainmaa,"4h,k,khh,erilli...",rt,82.0,178000,2171,1988,1/1,ei,,vuokra,E2013
964,Keskusta,5h+k+s,kt,112.5,320000,2844,1981,4/6,on,hyvä,oma,F2013
965,Hatanpää,"4h, k, kph, s, ...",kt,99.5,325000,3266,2000,2/4,on,hyvä,vuokra,F2013
966,Kaleva,4h+k+kph/wc+p,kt,74.0,235000,3176,1959,2/3,ei,hyvä,vuokra,D2013
967,Tesoma,"4h, k, kph, wc,...",kt,76.0,100000,1316,1965,1/3,on,tyyd.,vuokra,F2013
968,Onkiniemi,"4h, k, s",kt,91.0,220000,2418,1985,,on,,oma,E2018
969,Leinola,4h+k+kph/s+khh+...,ok,105.0,255000,2429,1982,-1/1,ei,hyvä,vuokra,C2018
970,Lintuhytti,"5h, k, kph/saun...",rt,111.0,335000,3018,2020,2/2,ei,hyvä,vuokra,B2018
971,Takahuhti,4h+k+p,kt,83.0,173000,2084,1971,1/3,on,hyvä,oma,F2013
972,Atala,"4h, k, s, kph, ...",rt,90.0,245000,2722,1990,1/1,ei,hyvä,oma,C2018
973,Pappila,"4h, k, khh, kph...",rt,93.5,235000,2513,1985,1/1,ei,hyvä,oma,C2007
974,Koivistonkylä,"5h, k, rt, aula...",ok,174.0,655000,3764,2014,,ei,hyvä,oma,B2018
975,Pyynikki,3H+KT+1MT+PARVEKE,kt,149.5,750000,5017,2022,2/4,on,hyvä,oma,C2018
976,Amuri,"4-5h, k, kph, s...",kt,117.0,345000,2949,1989,5/6,on,tyyd.,oma,C2018
977,Leinola,4h+k+kph/s+khh+...,ok,109.0,320000,2936,2005,1/2,ei,,vuokra,
978,Härmälä,5h+k+kph/s+2 wc...,rt,125.0,405000,3240,2020,1/2,ei,,vuokra,B2018
979,Lentävänniemi,4h+k,kt,87.0,158000,1816,1973,2/3,ei,hyvä,oma,D2018
980,Vuores,4h+k+s,rt,103.0,469000,4553,2016,1/1,ei,hyvä,vuokra,C2013
981,Finninmäki,"4h, k, p, sauna...",rt,100.0,156000,1560,1978,-1/2,ei,hyvä,oma,D
982,Peltolammi,"4h, k, kph/wc, ...",rt,129.0,155000,1202,1968,1/2,ei,,vuokra,
983,Tesoma,4h+k+p,kt,93.0,137000,1473,1968,1/3,ei,hyvä,vuokra,G2013
984,Vuores,4h + k + kph/s ...,rt,96.0,315000,3281,2019,1/2,ei,,vuokra,B2018
985,Kaukajärvi,"4h, k, s, kph, ...",kt,91.0,239000,2626,2005,1/5,on,hyvä,oma,D2013
986,Rantaperkiö,"4h, k, aula, er...",rt,100.0,315000,3150,2006,1/2,ei,hyvä,vuokra,C2018
987,Muotiala,"4h, k, s, lasit...",rt,89.0,311000,3494,2013,-1/2,ei,hyvä,vuokra,C2013
988,Hervanta,"4h, k, kph/wc, ...",kt,90.0,165000,1833,1976,5/8,on,hyvä,oma,E2018
989,Hatanpää,"4h, k, er. wc, ...",kt,91.0,295000,3242,1997,2/4,on,hyvä,vuokra,F2013
990,Takahuhti,"5(-6)h,k,2kph,w...",rt,149.0,225000,1510,1965,1/2,ei,,oma,E2013
991,Lentävänniemi,4h+k,kt,89.5,111000,1240,1974,3/7,on,tyyd.,oma,D2018
992,Koivistonkylä,"4h, k, s, kph, ...",rt,94.0,215000,2287,1970,1/1,ei,hyvä,oma,D2007
993,Tasanne,"4mh, k, oh, khh...",ok,144.0,229000,1590,1987,-1/2,ei,tyyd.,vuokra,
994,Atala,"4h, k, kph/s/kh...",rt,90.0,253000,2811,1992,1/1,ei,hyvä,oma,
995,Järvensivu,"5h, k, kph, khh...",rt,165.0,570000,3455,2024,,ei,hyvä,vuokra,A2018
996,Pyynikki,"4h, k, kph, s, ...",kt,94.5,320000,3386,1985,3/4,on,tyyd.,oma,F2013
997,Tammela,"4h, k, kph, eri...",kt,85.0,280000,3294,1972,2/6,on,hyvä,oma,C2018
998,Linnainmaa,"4h, k, sauna, p...",rt,98.0,173000,1765,1981,2/2,ei,tyyd.,oma,D2013
999,Hallila,"5h, k, kphx3, k...",ok,138.0,278000,2014,1994,,ei,tyyd.,vuokra,D2018
1000,Petsamo,"4h, k, kph/saun...",rt,135.0,336000,2489,1938,-1/2,ei,hyvä,vuokra,
1001,Annala,"4h, k, kph / s,...",rt,81.0,242000,2988,2016,1/2,ei,hyvä,vuokra,C2013
1002,Holvasti,"4h, k, s, ph, k...",rt,93.0,179000,1925,1995,2/2,ei,tyyd.,oma,D2018
1003,Tasanne,4h+oh+k+th+kh+k...,ok,117.0,282000,2410,1980,-1/2,ei,hyvä,oma,C2018
1004,Hakametsä,"5h, avok, kph, ...",rt,96.0,432000,4500,2019,-1/2,ei,hyvä,vuokra,C2013
1005,Tesoma,4h+k+p,kt,86.0,106000,1233,1969,1/5,on,tyyd.,vuokra,D2018
1006,Atala,"4h, k, kph / s,...",rt,93.0,227000,2441,1987,1/2,ei,hyvä,oma,C2018
1007,Lentävänniemi,"4h, k, parveke...",kt,88.0,131000,1489,1974,1/3,ei,tyyd.,oma,E2013
1008,Palokallio / peltolammi,4h+k+s,rt,98.0,238000,2429,1990,1/2,ei,hyvä,vuokra,D2018
1009,Pyynikki,"4h, k, kph/s, w...",kt,100.0,596000,5960,2000,1/2,on,hyvä,oma,
1010,Annala,"5h, k, khh, 2 w...",rt,115.0,250000,2174,1995,,ei,tyyd.,vuokra,D2018
1011,Pyynikki,"5h, k, kph, eri...",kt,116.5,400000,3433,1969,2/6,on,hyvä,oma,D2018
1012,Leinola,5h+k+2kph+s+pkh...,ok,148.0,325000,2196,1965,,ei,,oma,F2018
1013,Rahola,"5h,k,2xwc,s,kph...",ok,155.0,286000,1845,1930,,ei,,oma,C2018
1014,Tasanne,"5 h, k, rt/tkh,...",ok,179.5,275000,1532,1980,,ei,hyvä,oma,C2018
1015,Pappila,3h+k+takkah+s+v...,rt,141.5,272000,1922,1975,2/2,ei,hyvä,oma,E2013
1016,Huikas,"4h,k,wc,khh,2xk...",rt,116.0,380000,3276,1999,1/2,ei,hyvä,oma,E2013
1017,Amuri,4h+k+kph+s+p,kt,85.5,260000,3041,1957,6/6,on,hyvä,vuokra,
1018,Keskusta,Liikehuoneisto,kt,125.0,190000,1520,1957,1/7,on,tyyd.,oma,E2013
1019,Rahola,"6h,k,takkah,khh...",ok,176.0,246000,1398,1949,-1/3,ei,hyvä,oma,D2018
1020,Hämeenpuisto,"5h, k, s",kt,112.5,342000,3040,1981,1/3,on,hyvä,oma,D2018
1021,Kaarila,"4mh, oh, k, kph...",rt,125.0,365000,2920,2004,1/2,ei,hyvä,oma,D2013
1022,Korkinmäki,"5h, k, psh, s, ...",ok,120.0,199000,1658,1976,-1/2,ei,tyyd.,oma,
1023,Leinola,"5h, k, kph, s, ...",ok,139.0,590000,4245,2019,-1/1,ei,hyvä,oma,B2018
1024,Korkinmäki,"4-6h, k, s, ph,...",ok,97.0,220000,2268,1963,-1/2,ei,tyyd.,oma,E2018
1025,Holvasti,"4mh, oh, k, kyl...",ok,169.0,354000,2095,1994,1/1,ei,hyvä,vuokra,B2018
1026,Annala,4h+k+s,rt,92.5,211500,2286,1994,2/2,ei,hyvä,vuokra,D2013
1027,Koivistonkylä,4h+k+et+kuisti+...,ok,72.0,252000,3500,1928,1/3,ei,hyvä,oma,
1028,Holvasti,oh+3mh+k+kph+s+...,rt,91.0,250000,2747,1995,1/1,ei,hyvä,vuokra,
1029,Hervanta,"4h, k, kph, s, ...",kt,92.0,151000,1641,1990,3/5,on,hyvä,oma,E2013
1030,Tammela,4h+k+kph+wc+vh+p,kt,93.0,260000,2796,1970,7/7,on,hyvä,oma,C2018
1031,Korkinmäki,"5h, k, s, pesu...",ok,119.0,205000,1723,1969,-1/1,ei,tyyd.,oma,E2018
1032,Linnainmaa,4h+k+s,rt,109.0,255000,2339,1982,1/1,ei,hyvä,oma,D2018
1033,Niemi,5h+k+2x wc+vera...,ok,117.5,330000,2809,1957,2/2,ei,hyvä,oma,C2018
1034,Kumpula,5h + k + khh + ...,ok,119.0,470000,3950,2021,,ei,hyvä,oma,B2018
1035,Levonmäki,"4h, k, wc, wc/k...",rt,92.0,235000,2554,2004,-1/2,ei,hyvä,vuokra,D2013
1036,Tammela,"4h, k, lasitt.p...",kt,93.5,232000,2481,1972,5/7,on,tyyd.,oma,D2018
1037,Reuharinniemi,"5h, k, th, kph,...",rt,132.0,300000,2273,1978,1/2,ei,hyvä,oma,D2013
1038,Lukonmäki,4h + k + kph/sa...,rt,91.0,215000,2363,1978,1/2,ei,hyvä,oma,
1039,Tasanne,5h+k+s,rt,93.0,310000,3333,2004,1/2,ei,,vuokra,D2018
1040,Lintuhytti,"4h, k, kph / s,...",rt,95.0,311000,3274,2019,1/2,ei,hyvä,vuokra,B2018
1041,Rahola,"5h,k,s,kph,aula...",ok,175.0,410000,2343,2003,,ei,hyvä,vuokra,B2018
1042,Finninmäki,4h+k+kph/s+wc+2...,rt,100.0,222700,2227,1979,1/2,ei,,oma,
1043,Kaarila,"5h, k, wc x 2, ...",rt,125.0,320000,2560,2004,2/2,ei,hyvä,oma,D2013
1044,Vuores,4h+k+kph/s/wc+2...,kt,118.5,443000,3738,2020,6/6,on,hyvä,vuokra,B2018
1045,Lukonmäki,"4 h, k, s, p, t...",rt,96.5,240000,2487,1986,2/2,ei,hyvä,oma,D2013
1046,Järvensivu,"4h, k, rt, s, k...",kt,108.0,317000,2935,1968,2/2,ei,hyvä,oma,E2018
1047,Palokallio / peltolammi,4h+k+s,rt,98.0,225000,2296,1990,2/2,ei,hyvä,vuokra,D2018
1048,Rahola,"5h,k,aula,askar...",ok,112.0,185000,1652,1952,,ei,,vuokra,C2018
1049,Koivistonkylä,"5mh, oh, k, 2wc...",ok,162.0,301000,1858,2002,-1/2,ei,hyvä,oma,D2018
1050,Palokallio,4h+k+s+kph+2xvh...,rt,101.0,206000,2040,1973,1/1,ei,hyvä,vuokra,C2018
1051,Tammerkoski,6h+k+kph+erilli...,kt,192.0,500000,2604,1902,2/4,on,,oma,F2013
1052,Härmälä,4h+k+takkah.+te...,ok,110.0,265000,2409,1948,1/3,ei,hyvä,vuokra,D2018
1053,Hervanta,"4h, k",kt,90.0,124000,1378,1976,1/8,on,hyvä,oma,E2018
1054,Niemi,"7h, k, 2x kph, ...",ok,200.0,412000,2060,2010,-1/3,ei,hyvä,oma,
1055,Hervanta,"4h,k, kph / s, ...",kt,92.0,153000,1663,1984,3/5,on,hyvä,oma,D2018
1056,Kaleva,"4h, k, kph/wc, ...",kt,76.5,238000,3111,1960,4/6,on,tyyd.,vuokra,G2013
1057,Hervanta,4h+k+kph/s+wc+l...,kt,90.0,140000,1556,1989,5/6,on,,oma,E2013
1058,Ruotula,4/5h + k + kph/...,rt,155.0,247000,1594,1975,1/1,ei,hyvä,oma,
1059,"Vuores, mäyränmäki",4h+k+kph/khh+s+...,rt,86.5,288062,3330,2013,1/1,ei,hyvä,vuokra,B2013
1060,Hervanta,"4h,k",kt,94.0,133000,1415,1974,6/7,on,,oma,C2018
1061,Vehmainen,4h+k+kh+s+vh+la...,rt,95.0,175000,1842,1979,1/2,ei,hyvä,oma,D2013
1062,Ranta-kaarila,"4-5h, k, 2 x er...",rt,131.5,410000,3118,1976,-1/2,ei,hyvä,oma,D2018
1063,Peltolammi,4h+k,kt,85.0,130000,1529,1966,1/3,ei,hyvä,vuokra,G2013
1064,Olkahinen,"4h, k, erill.wc...",rt,101.5,275000,2709,1990,1/1,ei,hyvä,oma,E2018
1065,Härmälänranta,"4h, k, kph/saun...",kt,100.5,502000,4995,2012,4/6,on,hyvä,oma,B2018
1066,Lukonmäki,3-4h+k+et+takka...,rt,123.0,288000,2341,1990,1/2,ei,hyvä,oma,D2018
1067,Veisu,"4h, k, s",rt,107.0,270000,2523,1982,1/1,ei,hyvä,oma,D2013
1068,Tammela,"4h, k, kph/wc, ...",kt,86.5,265000,3064,1977,2/6,on,tyyd.,oma,E2013
1069,Petsamo,"4h, k, psh, s, ...",rt,92.0,270000,2935,1936,-1/3,ei,hyvä,vuokra,E2018
1070,Reuharinniemi,4h+k+s,rt,95.0,345000,3632,2001,1/2,ei,,oma,E2013
1071,Kumpula,"5h,k,kph,s,khh,...",ok,156.0,440000,2821,2004,,ei,,oma,B2018
1072,Kaleva,"4h, k, kph, lasp",kt,76.5,205000,2680,1960,1/6,on,tyyd.,vuokra,G2013
1073,Hallila,"3 mh, k, rt, kp...",ok,106.0,470000,4434,2000,-1/2,ei,hyvä,oma,
1074,Rahola,"4h, k, s",rt,95.0,278001,2926,1999,1/1,ei,,oma,E2013
1075,Keskusta,"4h, k, wc, kph,...",kt,104.0,465000,4471,1963,3/8,on,hyvä,oma,F2013
1076,Tampella,"5h, k, s",kt,140.0,1190000,8500,2004,4/4,on,,oma,D2013
1077,Kaleva,"5h, k, 2 kph, v...",kt,118.0,385000,3263,1960,6/6,on,hyvä,vuokra,D2013
1078,Härmälä,"4h, k, kph, s, ...",ok,120.0,170000,1417,1929,,ei,tyyd.,vuokra,F2018
1079,Amuri,"4-5 h, k, wc, kph",kt,117.0,410000,3504,1963,,on,hyvä,oma,F2018
1080,Pyynikki,4H+KT+S+TERASSI...,kt,127.0,650000,5118,2022,1/4,on,hyvä,oma,
1081,Hämeenpuisto,"3-4 h, k, kh, e...",kt,99.0,405000,4091,1963,4/8,on,tyyd.,oma,D2018
1082,Kumpula,"4h, k, wc, 2xkp...",ok,98.0,176000,1796,1960,,ei,,oma,D2018
1083,Rantaperkiö,4h+k+th/vh+2xvh...,rt,86.0,200000,2326,1957,3/3,ei,tyyd.,vuokra,
1084,Multisilta,"4h, k, wc/kph,s...",kt,88.5,118500,1339,1972,3/5,on,hyvä,vuokra,E2018
1085,Hervanta,"4h, k, p, kph, ...",kt,93.5,107000,1144,1978,6/6,on,hyvä,oma,D2018
1086,Hervantajärvi,"5h, kt, kph, s, p",kt,103.0,364000,3534,2023,3/4,on,hyvä,vuokra,B2018
1087,Hallila,"5h, k, kph, khh...",ok,118.0,238000,2017,1991,,ei,tyyd.,vuokra,
1088,Tammela,4h+k+kph+s+2xwc...,kt,126.0,420000,3333,1957,5/6,on,tyyd.,oma,F2013
1089,Niemi,"Oh, 3mh, ruokai...",ok,141.0,270000,1915,1969,-1/2,ei,hyvä,oma,C2018
1090,Vuores,"5h, k, 2kph, kh...",rt,113.0,364000,3221,2015,-1/2,ei,hyvä,vuokra,C2013
1091,Levonmäki,"8h,k,s",rt,138.0,335000,2428,1998,1/1,ei,hyvä,vuokra,C2018
1092,Vuores,"4h, k, khh, kph...",rt,95.0,320000,3368,2016,1/1,ei,hyvä,vuokra,C2013
1093,Vehmainen,5h+k+työh+...,ok,134.0,557500,4160,2017,,ei,hyvä,oma,B2013
1094,Vehmainen,"Oh, k, rt, 5x m...",ok,183.0,701000,3831,2008,1/2,ei,hyvä,oma,C2018
1095,Levonmäki,"4h, k, vh, eril...",rt,89.5,224343,2507,1999,1/1,ei,hyvä,vuokra,E2013
1096,Härmälä,"4h, k, veranta,...",ok,90.0,275000,3056,1948,1/2,ei,hyvä,vuokra,E2018
1097,Kaukajärvi,"4 h, k, kh",kt,91.0,176000,1934,1965,1/3,ei,hyvä,oma,E2013
1098,Ikuri,4 h+k+s+wc+kph+...,rt,95.0,298000,3137,2012,1/1,ei,hyvä,vuokra,
1099,Keskusta,"5h, k, eril wc,...",kt,115.0,430000,3739,1962,3/8,on,hyvä,oma,G2013
1100,Kaleva,4h+k+kph/wc+2 x...,kt,82.0,242000,2951,1951,6/9,on,,vuokra,F2013
1101,Finninmäki,4h+k,rt,112.0,255000,2277,1981,1/2,ei,hyvä,oma,D2013
1102,Vehmainen,4h+k+ saunaos.,rt,122.0,300000,2459,1985,1/2,ei,,oma,E2013
1103,Risso,5h+k+et+2+wc+kh...,ok,135.0,446000,3304,2014,,ei,hyvä,vuokra,A2018
1104,Risso,,ok,148.0,450000,3041,2014,2/2,ei,hyvä,vuokra,C2013
1105,Holvasti,"5h, k, rt, s, k...",ok,119.0,348000,2924,1993,,ei,hyvä,vuokra,D2018
1106,Tohloppi,"3-4h, k, erill ...",rt,100.0,259000,2590,2010,2/2,ei,hyvä,vuokra,E2013
1107,Hämeenpuisto,"4h, k",kt,109.2,387500,3549,1934,3/6,on,tyyd.,oma,E2018
1108,Kaarila,4h+k+autot+saun...,rt,131.0,327000,2496,1966,1/1,ei,,oma,C2013
1109,Keskusta,"4h, k, kph, vh, p",kt,84.0,305000,3631,1957,5/5,on,tyyd.,oma,F2013
1110,Pappila,"3-4h, k, kph,s ...",rt,142.0,233000,1641,1975,1/2,ei,,oma,E2013
1111,Härmälä,4h+kt+kph+wc+pa...,rt,90.0,335000,3722,2020,1/2,ei,hyvä,vuokra,B2018
1112,Pyynikki,4h+k+kph+s+wc+vh+p,kt,94.0,450000,4787,2010,5/7,on,hyvä,oma,D2013
1113,Hervantajärvi,"4h, k, kph, s, ...",rt,97.0,373000,3845,2024,-1/2,on,hyvä,vuokra,A2018
1114,Pyynikki,"4h, k, kph/s, w...",kt,100.0,595000,5950,2000,1/2,on,hyvä,oma,
1115,Leinola,"5h, k, rt, s, p...",ok,103.0,282000,2738,1982,,ei,hyvä,vuokra,C2018
1116,Linnainmaa,4h+k+s+wc+vh+la...,kt,86.0,186000,2163,2005,3/4,on,hyvä,vuokra,E2013
1117,Hervantajärvi,"4h, k, kph, s, ...",rt,97.0,372600,3841,2024,-1/2,on,hyvä,vuokra,A2018
1118,Takahuhti,"5h,avokeitti...",rt,104.0,475000,4567,2020,1/2,ei,hyvä,vuokra,A2018
1119,Leinola,"4h, k, s, vh, e...",rt,82.0,188000,2293,1990,1/1,ei,,oma,
1120,Uusikylä,"4h,th,rh,khht,2...",rt,310.0,424000,1368,1976,1/1,ei,hyvä,oma,
1121,Järvensivu,"5h, k, kph, khh...",rt,165.0,575000,3485,2023,,ei,hyvä,vuokra,A2018
1122,Lintuviita,4h+k+s,rt,102.5,225000,2195,1979,2/2,ei,hyvä,oma,D2018
1123,Pyynikki,3H+3MT/TT+KT+S+...,kt,194.5,850000,4370,2022,2/4,on,hyvä,oma,C2018
1124,Hervanta,"4h, k, kph, s, ...",kt,85.5,228000,2667,2013,6/6,on,hyvä,vuokra,C2013
1125,Korkinmäki,"4h, k, s, kph/w...",rt,86.0,268000,3116,2002,-1/2,ei,hyvä,oma,E2013
1126,Ruotula,"3h,k,tkh,s,kph,...",rt,147.0,140000,952,1965,1/2,ei,,oma,C2018
1127,Tammela,"4h,k,erill wc, ...",kt,86.0,375000,4360,1941,4/6,on,,vuokra,F2013
1128,Hervanta,"4h, k, p, kph, ...",kt,93.5,97000,1037,1978,4/6,on,hyvä,oma,D2018
1129,Hervanta,"4h, k",kt,90.0,125000,1389,1973,1/5,on,,oma,F2013
1130,Hallila,4h+k+s,rt,92.0,228000,2478,1992,2/2,ei,tyyd.,vuokra,D2018
1131,Koivistonkylä,"5h, k, 2kph, s,...",ok,160.0,361000,2256,1936,-1/2,ei,hyvä,oma,
1132,Atala,4h+k+s+ak,rt,91.0,259000,2846,1994,1/1,ei,hyvä,oma,E2013
1133,Vehmainen,"4h, k, wc, kph/...",ok,157.5,200000,1270,1972,,ei,huono,oma,E2018
1134,Pispala,"4h, k, kph/wc, ...",kt,65.0,310000,4769,1927,2/2,ei,hyvä,oma,
1135,Finninmäki,4h+k+kph/s+eril...,rt,93.0,224000,2409,1983,1/2,ei,,oma,E2018
1136,Hervanta,"4h, k, s, kph, ...",kt,103.5,180000,1739,1985,7/8,on,tyyd.,oma,E2013
1137,Ruotula,"5-6h, k, saunao...",rt,130.5,360000,2759,1990,-1/2,ei,hyvä,oma,
1138,Hervanta,"4h, k, kph, s, ...",kt,96.0,114000,1188,1983,6/6,on,huono,oma,B2018
1139,Ikuri,4h+k+kph+s+vh,rt,83.0,189000,2277,1973,,ei,,oma,D2018
1140,Lentävänniemi,5h+k+s,rt,147.0,330000,2245,1979,1/1,ei,hyvä,oma,C2018
1141,Holvasti,"Oh, 3x mh, k, r...",ok,104.0,235000,2260,1967,-1/1,ei,hyvä,oma,B2018
1142,Kaukajärvi,6h+k+s,rt,161.5,320000,1981,1999,1/2,ei,hyvä,oma,D2013
1143,Kaarila,"4(-5)h,k,2kph,2...",rt,110.0,295000,2682,2003,1/2,ei,hyvä,oma,E2018
